Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Licensed,official_video,Artist_Length,Album_Length,Title_Length,Description_Length
album,0.654,0.875,1.0,-4.845,0.0744,0.000417,0.0086,0.194,0.522,99.975,171621.0,68116200.0,1.0,1.0,17,22,67,400
album,0.533,0.858,2.0,-4.212,0.0766,0.00021,0.0,0.148,0.506,160.057,205159.0,117833946.0,1.0,1.0,17,22,53,356
album,0.697,0.691,2.0,-4.757,0.146,0.214,0.0,0.185,0.305,137.853,239293.0,449712619.0,1.0,1.0,17,5,69,378
album,0.665,0.678,5.0,-4.122,0.0315,0.00156,0.0,0.474,0.682,131.986,122570.0,15391210.0,1.0,1.0,17,18,79,2297
album,0.721,0.632,5.0,-6.695,0.0358,0.0693,0.0,0.291,0.296,92.057,144860.0,35856519.0,1.0,1.0,17,22,68,2552
album,0.742,0.617,2.0,-6.689,0.0345,0.05,5.92e-05,0.0711,0.491,147.002,124188.0,19671018.0,1.0,1.0,17,18,58,2135
album,0.594,0.749,9.0,-5.298,0.056,0.0338,0.00106,0.3,0.694,179.968,172854.0,2133459242.0,1.0,1.0,9,6,74,2056
album,0.628,0.69,8.0,-5.83,0.0511,0.443,0.0,0.113,0.66,179.908,205907.0,1381668642.0,1.0,1.0,9,5,74,1619
album,0.635,0.713,11.0,-6.909,0.0937,0.228,0.0,0.0506,0.749,179.864,204701.0,736730327.0,1.0,1.0,9,6,72,794
single,0.627,0.849,1.0,-3.167,0.153,0.0913,0.0,0.145,0.818,89.907,158087.0,592005.0,0.0,0.0,9,39,37,459
album,0.681,0.648,1.0,-5.021,0.38,0.523,0.0,0.104,0.688,172.02,286507.0,321420163.0,1.0,1.0,9,8,100,4667
album,0.855,0.912,10.0,-4.832,0.145,0.183,0.0,0.122,0.885,104.072,157023.0,115543124.0,1.0,1.0,9,6,56,73
single,0.76,0.803,8.0,-2.867,0.0306,0.531,0.0,0.0555,0.922,136.945,223074.0,61711565.0,1.0,1.0,9,18,74,3369
album,0.832,0.608,6.0,-6.042,0.0385,0.282,0.0,0.0761,0.589,94.013,198707.0,1546036758.0,1.0,1.0,9,5,49,1071
single,0.591,0.785,9.0,-7.768,0.161,0.161,0.0,0.126,0.785,106.002,217547.0,24706293.0,0.0,0.0,9,20,55,2090
album,0.827,0.788,7.0,-11.937,0.0831,0.246,0.0,0.0764,0.815,109.933,170005.0,162725.0,0.0,0.0,9,10,93,749
album,0.557,0.54,9.0,-10.484,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733.0,114971785.0,1.0,1.0,11,23,43,1922
album,0.443,0.403,0.0,-8.339,0.0322,0.631,0.0,0.111,0.41,143.462,243027.0,131925109.0,1.0,1.0,11,22,27,320
album,0.533,0.376,9.0,-11.913,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947.0,31607772.0,1.0,1.0,11,23,31,1150
album,0.332,0.179,5.0,-11.83,0.0326,0.879,0.0,0.0886,0.315,96.529,125667.0,42856675.0,1.0,1.0,11,18,27,686
album,0.482,0.849,2.0,-9.198,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,155227.0,53228361.0,1.0,1.0,11,29,33,332
album,0.686,0.127,7.0,-14.361,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,138387.0,33852949.0,1.0,1.0,11,24,27,339
